User_ID,Product_ID,Rating,Timestamp
A5JLAU2ARJ0BO,1400532655,1.0,1291334400
A2R6RA8FRBS608,B000001OL6,4.0,1209513600
A11D1KHM7DVOQK,B000001OMN,2.0,1167350400
A6FIAB28IS79,B00000J05A,3.0,985564800
A2R6RA8FRBS608,B00000J1EP,4.0,1186272000
A11D1KHM7DVOQK,B00000J1G6,1.0,1110499200
AKT8TGIT6VVZ5,B00000J1TX,5.0,1180224000
A6FIAB28IS79,B00000J1UQ,5.0,1251763200
A231WM2Z2JL0U3,B00000J1US,5.0,1010880000
A2B7BUH8834Y6M,B00000J1UU,5.0,1011484800
A2B7BUH8834Y6M,B00000J3II,5.0,1011830400
A6FIAB28IS79,B00000J4CY,3.0,1199404800
A2R6RA8FRBS608,B00000J4IX,4.0,1180137600
A231WM2Z2JL0U3,B00000J570,4.0,979776000
A11D1KHM7DVOQK,B00000J9Z7,4.0,1168646400
A11D1KHM7DVOQK,B00000JBYW,1.0,1174348800
A11D1KHM7DVOQK,B00000JCTD,4.0,1108339200
A231WM2Z2JL0U3,B00000JFJA,3.0,1007164800
A2B7BUH8834Y6M,B00000JFOF,5.0,1003190400
A3OXHLG6DIBRW8,B00000JHX1,4.0,1253232000
A3OXHLG6DIBRW8,B00000JLSJ,5.0,1253232000
A231WM2Z2JL0U3,B00000JSGF,4.0,969840000
A2B7BUH8834Y6M,B00000K0KJ,4.0,1011830400
A2B7BUH8834Y6M,B00000K1SF,1.0,962496000
A231WM2Z2JL0U3,B00000K4KH,5.0,1078444800
A2B7BUH8834Y6M,B00000K4KU,5.0,1069372800
A231WM2Z2JL0U3,B00001OPK8,4.0,964828800
A11D1KHM7DVOQK,B00001P3XM,4.0,1089849600
A6FIAB28IS79,B00001P4X5,3.0,1019779200
A6FIAB28IS79,B00001P4ZH,3.0,1237507200
A11D1KHM7DVOQK,B00001W0D4,4.0,1167264000
A6FIAB28IS79,B00001W0DI,5.0,1084665600
A231WM2Z2JL0U3,B00001YVG4,5.0,987465600
A2R6RA8FRBS608,B00001ZT4H,4.0,1209513600
A2B7BUH8834Y6M,B00001ZWPF,4.0,1001808000
A11D1KHM7DVOQK,B00001ZWRV,3.0,1104019200
AKT8TGIT6VVZ5,B000021YU8,5.0,983318400
A231WM2Z2JL0U3,B000021YUO,5.0,985824000
A231WM2Z2JL0U3,B000023VUL,5.0,970444800
A6FIAB28IS79,B000023VUL,2.0,1010534400
A3OXHLG6DIBRW8,B000026D8E,2.0,1233619200
A231WM2Z2JL0U3,B000028F42,5.0,974851200
A2B7BUH8834Y6M,B0000296HA,1.0,1069977600
A231WM2Z2JL0U3,B00002SWHH,3.0,968112000
A3OXHLG6DIBRW8,B00003006E,5.0,1244937600
A5JLAU2ARJ0BO,B00003006R,5.0,1052092800
A231WM2Z2JL0U3,B0000304ZO,5.0,966729600
A3OXHLG6DIBRW8,B000031WDA,3.0,1228953600
A231WM2Z2JL0U3,B000038AB2,5.0,974160000
AT6CZDCP4TRGA,B00003CWA3,3.0,1078012800
A231WM2Z2JL0U3,B00003CWCI,4.0,970444800
A6FIAB28IS79,B00003CWDH,4.0,1219968000
A231WM2Z2JL0U3,B00003CWE8,4.0,970444800
A5JLAU2ARJ0BO,B00003G1RG,3.0,1104796800
A231WM2Z2JL0U3,B00003G1RG,5.0,997488000
A231WM2Z2JL0U3,B00003G1RJ,5.0,998697600
A2R6RA8FRBS608,B00003GO0E,5.0,1199750400
A231WM2Z2JL0U3,B00003ZDJ7,5.0,1015804800
A231WM2Z2JL0U3,B0000488VK,3.0,995414400
A2B7BUH8834Y6M,B00004R8V6,2.0,1011830400
A231WM2Z2JL0U3,B00004R8VC,5.0,993859200
A231WM2Z2JL0U3,B00004RC2D,4.0,976147200
A5JLAU2ARJ0BO,B00004S9AK,5.0,956880000
A231WM2Z2JL0U3,B00004S9AK,5.0,970099200
A231WM2Z2JL0U3,B00004SA30,5.0,991440000
A5JLAU2ARJ0BO,B00004SB92,4.0,1034726400
A231WM2Z2JL0U3,B00004SB92,5.0,1011657600
A2B7BUH8834Y6M,B00004SB92,4.0,1011484800
A231WM2Z2JL0U3,B00004SC3Y,4.0,1008028800
A231WM2Z2JL0U3,B00004SCIT,4.0,977270400
A25HBO5V8S8SEA,B00004SCKA,5.0,1099612800
A231WM2Z2JL0U3,B00004SCKA,4.0,969062400
A231WM2Z2JL0U3,B00004SD15,5.0,1007078400
A231WM2Z2JL0U3,B00004SD85,5.0,999648000
A231WM2Z2JL0U3,B00004SD9Q,5.0,971395200
A231WM2Z2JL0U3,B00004SSRC,5.0,973641600
A2R6RA8FRBS608,B00004SU73,4.0,1159142400
A231WM2Z2JL0U3,B00004SYB7,5.0,980208000
A2R6RA8FRBS608,B00004SYKO,5.0,1230422400
A2B7BUH8834Y6M,B00004SYVL,4.0,961632000
A5JLAU2ARJ0BO,B00004T1KZ,4.0,1078185600
A6FIAB28IS79,B00004T1WU,5.0,1030838400
A6FIAB28IS79,B00004T1X6,4.0,1024704000
A2R6RA8FRBS608,B00004T8R2,4.0,1255564800
A11D1KHM7DVOQK,B00004T8R2,2.0,1191369600
A231WM2Z2JL0U3,B00004TDL2,3.0,1017187200
A6FIAB28IS79,B00004TDN0,5.0,1008374400
A2B7BUH8834Y6M,B00004TDN2,4.0,1013040000
A231WM2Z2JL0U3,B00004TE75,5.0,997488000
A231WM2Z2JL0U3,B00004TEN2,5.0,995328000
A25HBO5V8S8SEA,B00004TENT,5.0,1099612800
A231WM2Z2JL0U3,B00004TH2Y,4.0,982022400
A231WM2Z2JL0U3,B00004THDE,5.0,990230400
A3OXHLG6DIBRW8,B00004TJ7O,5.0,1253232000
A6FIAB28IS79,B00004TKHY,4.0,996451200
A2B7BUH8834Y6M,B00004TL5Q,5.0,997920000
A5JLAU2ARJ0BO,B00004TS16,5.0,979257600
A231WM2Z2JL0U3,B00004TS16,5.0,973900800
A5JLAU2ARJ0BO,B00004TVSO,2.0,1107129600
A2R6RA8FRBS608,B00004TWM4,3.0,1238716800
A2R6RA8FRBS608,B00004TWVY,5.0,1197936000
A6FIAB28IS79,B00004TZGZ,3.0,1199232000
A6FIAB28IS79,B00004TZJJ,4.0,1020297600
A6FIAB28IS79,B00004TZJK,4.0,1076889600
A6FIAB28IS79,B00004TZJQ,3.0,1076889600
A11D1KHM7DVOQK,B00004TZK6,1.0,1174608000
A6FIAB28IS79,B00004TZKO,3.0,1003622400
A231WM2Z2JL0U3,B00004U8FY,4.0,997228800
A231WM2Z2JL0U3,B00004U9NP,4.0,995587200
